4.691304347826087189e+10,4.261181401361378479e+10,2.872975150630392838e+10,5.738818598554040751e-01,3.875956583512319420e-01,1.813639089585644913e+10
4.834782608695652771e+10,4.266844443083467102e+10,2.928546190064001083e+10,5.733155556883182680e-01,3.942755182443845596e-01,1.851142809561468887e+10
4.978260869565217590e+10,4.336603292973790741e+10,3.014809297316249847e+10,5.663396707016249421e-01,3.944051193170575731e-01,1.878267182168358231e+10
5.121739130434783173e+10,4.374804886017054749e+10,3.086041351302350998e+10,5.625195112536294229e-01,3.974622150237828166e-01,1.912551267134005737e+10
5.265217391304347992e+10,4.404139227271688843e+10,3.152820216582674789e+10,5.595860770150882235e-01,4.011984726358791553e-01,1.945334369415991592e+10
5.408695652173913574e+10,4.442580846059407043e+10,3.223885330603866196e+10,5.557419149358667765e-01,4.039440307517281892e-01,1.968776782361519241e+10
5.552173913043478394e+10,4.475330248352075958e+10,3.292219159622980499e+10,5.524669748227273303e-01,4.070396189982341539e-01,2.004330786410823441e+10
5.695652173913043976e+10,4.503064695585518646e+10,3.357736211139778900e+10,5.496935302899325082e-01,4.104737950299908178e-01,2.044655166696031189e+10
5.839130434782608795e+10,4.562667833725159454e+10,3.441380589992501831e+10,5.437332166027840641e-01,4.106347463181089785e-01,2.064672358452316284e+10
5.982608695652174377e+10,4.585554743556515503e+10,3.504224785183715057e+10,5.414445255927209377e-01,4.142647525181368806e-01,2.102641466719114685e+10
6.126086956521739197e+10,4.619982733731571960e+10,3.573744398406704712e+10,5.380017265578992403e-01,4.166350521245643090e-01,2.130750635824946213e+10
6.269565217391304779e+10,4.651727865997416687e+10,3.641545560847792053e+10,5.348272133280874696e-01,4.191709577571535172e-01,2.156530661023781204e+10
6.413043478260869598e+10,4.687552000460105896e+10,3.712408015744606018e+10,5.312447999254070741e-01,4.211160382451617501e-01,2.184519208938702393e+10
6.556521739130435181e+10,4.708105007490559387e+10,3.772955274666598511e+10,5.291894992508755502e-01,4.245492618214478098e-01,2.207311569024068451e+10
6.700000000000000000e+10,4.728881536663510895e+10,3.833957986217965698e+10,5.271118463334293347e-01,4.277674647437171851e-01,2.248485355200228500e+10
6.843478260869565582e+10,4.764543050832368469e+10,3.904563380505545044e+10,5.235456949161011453e-01,4.294475365211888884e-01,2.276384318387918091e+10
6.986956521739131165e+10,4.798504424983061218e+10,3.974261867486644745e+10,5.201495575001879867e-01,4.311884072679197377e-01,2.304342019794804764e+10
7.130434782608695984e+10,4.799907254340129089e+10,4.021392532881721497e+10,5.200092745280271433e-01,4.360242179861191225e-01,2.328817853160456467e+10
7.273913043478260803e+10,4.847406331396038055e+10,4.100902433272706604e+10,5.152593668541665117e-01,4.362178364340921766e-01,2.352782024816498184e+10
7.417391304347827148e+10,4.874800898682442474e+10,4.166319055411962128e+10,5.125199101206130425e-01,4.383039960534574897e-01,2.373462782839992523e+10
